shortage_ratio,mean_cost_reduction_pct,mean_fill_rate,wins
4.0,3.9130241562889445,0.8678560789753134,20
8.0,4.975237820528959,0.8943807256182362,18
12.0,0.9159776226992349,0.8949701972893787,10
