policy,mean_total_cost,mean_fill_rate,mean_difference_vs_seasonal,mean_reduction_pct_vs_seasonal,bootstrap_95_ci_low,bootstrap_95_ci_high,origin_wins,origins,one_sided_sign_p
Conformal-CVaR,238574.1097721118,0.8943807256182362,-13607.902848433258,4.9752378205289585,-20818.53149990722,-7538.465567922305,18,20,0.00020122528076171875
GBM quantile,260393.5735995003,0.8575226682572777,8211.560978955215,-3.7122965241576935,1067.9010736002376,14275.818203827654,5,20,
Seasonal-normal,252182.01262054508,0.9004575294737174,0.0,0.0,0.0,0.0,0,20,
