method,empirical_coverage,mean_interval_width,MAE,RMSE,mean_error
Conformal-CVaR,0.9008541666666666,16.58299334888943,,,
GBM quantile,0.7445119047619048,12.240425504825808,4.875322523396991,9.279102341079629,1.17126477388404
Seasonal-normal,0.9382797619047618,26.788962836702627,6.234318452380952,11.698861996955495,0.03974702380952381
