origin,selected_cvar_weight,policy_validation_cost,policy_validation_fill_rate,qhat_window_a
1353,0.5,238844.3449860628,0.9120318796582975,2.967716039334455
1381,0.25,220433.6008210834,0.9457464415162012,3.3441175501558393
1409,1.0,224311.67456737778,0.940802198831717,2.7490545864733917
1437,1.0,219968.38403289873,0.9161197657329361,2.4943892524263527
1465,0.75,207768.2442402002,0.8989180998987908,2.0578071578951533
1493,0.25,178324.699208796,0.9328210636746513,3.0945793313062424
1521,0.5,297631.0808607164,0.7982945852235156,2.678299804266457
1549,0.5,235869.72211384994,0.8857185320358524,3.6425891708925136
1577,0.25,256103.16382320077,0.8516166303360656,4.040364008499775
1605,1.0,212882.9508705218,0.9141158662609432,4.243366556526123
1633,1.0,212606.42522769328,0.9152602006691295,3.3484454334970657
1661,0.25,285308.5981026396,0.8300066249836703,2.611672103994941
1689,0.25,279969.7161361257,0.8974460471914262,4.302540983142322
1717,0.75,260946.01769358478,0.9152177006712263,3.1521660280736867
1745,0.5,244310.8011732638,0.9222951565584041,3.151537872862086
1773,0.5,242813.71075486427,0.9309348246769535,3.0339853957013307
1801,0.25,208431.38823620012,0.9362302305730621,2.624652561645812
1829,0.75,189352.0962680042,0.9318280131137889,2.626380138069141
1857,0.25,190885.55295768776,0.9091272639965744,2.1939401940285093
1885,1.0,315188.8986488133,0.7998423476195592,3.451684930005956
